건수,이름,홈페이지,홈페이지에서찾은 URL 고시 / 공고,리스트 URL
529,양산시청,www.yangsan.go.kr,,https://www.yangsan.go.kr/portal/saeol/gosi/list.do?mid=0102010000
517,의성군청,www.usc.go.kr,,
511,거창군청,www.geochang.go.kr,,
498,산청군청,www.sancheong.go.kr,,
484,거제시청,www.geoje.go.kr,,
475,하동군청,www.hadong.go.kr,,
474,부안군청,www.buan.go.kr,,
429,시흥시청,www.siheung.go.kr,,
428,창원시청,www.changwon.go.kr,,
418,순천시청,www.suncheon.go.kr,,
404,안성시청,www.anseong.go.kr,,
402,금산군청,www.geumsan.go.kr,,
398,청도군청,www.cheongdo.go.kr,,
385,문경시청,www.gbmg.go.kr,,
382,서산시청,www.seosan.go.kr,,
353,통영시청,www.tongyeong.go.kr,,
343,김해시청,www.gimhae.go.kr,,
340,홍천군청,www.hongcheon.go.kr,,
334,제주특별자치도청,sido.jeju.go.kr,,
332,완도군청,www.wando.go.kr,,
328,영천시청,www.yc.go.kr,,
325,강릉시청,www.gn.go.kr,,
322,홍성군청,www.hongseong.go.kr,,
315,원주시청,www.wonju.go.kr,,
308,구미시청,www.gumi.go.kr,,
307,김제시청,www.gimje.go.kr,,
304,부여군청,www.buyeo.go.kr,,
303,부산광역시청,www.busan.go.kr,,
302,영암군청,www.yeongam.go.kr,,
301,전라남도청,www.jeonnam.go.kr,,
297,창녕군청,www.cng.go.kr,,
293,보성군청,www.boseong.go.kr,,
293,여수시청,www.yeosu.go.kr,,
290,경주시청,www.gyeongju.go.kr,,
285,사천시청,www.sacheon.go.kr,,
284,합천군청,www.hc.go.kr,,
281,영월군청,www.yw.go.kr,,
281,이천시청,www.icheon.go.kr,,
280,경산시청,www.gbgs.go.kr,,
279,철원군청,www.cwg.go.kr,,
275,나주시청,www.naju.go.kr,,
274,양구군청,www.yanggu.go.kr,,
270,충주시청,www.chungju.go.kr,,
268,남원시청,www.namwon.go.kr,,
267,예천군청,www.ycg.kr,,
257,영덕군청,www.yd.go.kr,,
256,김포시청,www.gimpo.go.kr,,
256,무안군청,www.muan.go.kr,,
254,강화군청,www.ganghwa.go.kr,,
252,서울특별시청,www.seoul.go.kr,,
248,광명시청,www.gm.go.kr,,
246,강진군청,www.gangjin.go.kr,,
243,해남군청,www.haenam.go.kr,,
242,목포시청,www.mokpo.go.kr,,
237,장흥군청,www.jangheung.go.kr,,
235,동해시청,www.dh.go.kr,,
231,안동시청,www.andong.go.kr,,
229,청송군청,www.cs.go.kr,,
226,광주시청,www.gjcity.go.kr,,
225,태백시청,www.taebaek.go.kr,,
222,인제군청,www.inje.go.kr,,
222,포항시청,www.pohang.go.kr,,
221,진도군청,www.jindo.go.kr,,
219,울진군청,www.uljin.go.kr,,
217,삼척시청,www.samcheok.go.kr,,
214,세종특별자치시청,www.sejong.go.kr,,
213,장성군청,www.jangseong.go.kr,,
212,광양시청,gwangyang.go.kr,,
212,신안군청,www.shinan.go.kr,,
210,평택시청,www.pyeongtaek.go.kr,,
208,양평군청,www.yp21.go.kr,,
200,옥천군청,www.oc.go.kr,,
200,횡성군청,www.hsg.go.kr,,
196,고령군청,www.goryeong.go.kr,,
193,계룡시청,www.gyeryong.go.kr,,
192,함평군청,www.hampyeong.go.kr,,
190,음성군청,www.eumseong.go.kr,,
183,함안군청,www.haman.go.kr,,
179,파주시청,www.paju.go.kr,,
177,곡성군청,www.gokseong.go.kr,,
177,울릉군청,www.ulleung.go.kr,,
170,동두천시청,www.ddc.go.kr,,
168,경상남도고성군청,www.goseong.go.kr,,
168,성주군청,sj.go.kr,,
166,광주광역시청,sido.gwangju.go.kr,,
164,경상남도청,www.gyeongnam.go.kr,,
164,의령군청,www.uiryeong.go.kr,,
163,여주시청,www.yeoju.go.kr,,
161,남해군청,www.namhae.go.kr,,
161,칠곡군청,www.chilgok.go.kr,,
160,남동구청,www.namdong.go.kr,,
150,포천시청,www.pocheon.go.kr,,
147,경상북도청,www.gb.go.kr,,
147,울산광역시청,www.ulsan.go.kr,,
134,오산시청,www.osan.go.kr,,
133,경기도청,www.gg.go.kr,,
133,성동구청,www.sd.go.kr,,
132,보은군청,www.boeun.go.kr,,
130,구로구청,www.guro.go.kr,,
129,충청북도청,210.104.148.53,,
128,영등포구청,www.ydp.go.kr,,
127,대전광역시청,www.daejeon.go.kr,,
126,인천광역시청,www.incheon.go.kr,,
124,영주시청,www.yeongju.go.kr,,
124,인천광역시청,announce.incheon.go.kr,,
123,강원특별자치도청,state.gwd.go.kr,,
122,강남구청,www.gangnam.go.kr,,
122,영동군청,www.yd21.go.kr,,
118,강원특별자치도고성군청,www.gwgs.go.kr,,
115,은평구청,www.ep.go.kr,,
112,남양주시청,www.nyj.go.kr,,
110,광주광역시서구청,www.seogu.gwangju.kr,,
109,제천시청,www.jecheon.go.kr,,
102,영양군청,www.yyg.go.kr,,
98,광진구청,www.gwangjin.go.kr,,
98,부평구청,www.icbp.go.kr,,
97,충청남도청,www.chungnam.go.kr,,
95,강북구청,www.gangbuk.go.kr,,
93,대구광역시청,sido.daegu.go.kr,,
89,계양구청,www.gyeyang.go.kr,,
87,하남시청,www.hanam.go.kr,,
86,영도구청,www.yeongdo.go.kr,,
86,옹진군청,www.ongjin.go.kr,,
84,구례군청,www.gurye.go.kr,,
83,관악구청,www.gwanak.go.kr,,
82,서대문구청,www.sdm.go.kr,,
82,의정부시청,www.ui4u.go.kr,,
77,광산구청,www.gwangsan.go.kr,,
77,용산구청,www.yongsan.go.kr,,
75,군위군청,www.gunwi.go.kr,,
75,김천시청,gc.go.kr,,
74,과천시청,www.gccity.go.kr,,
74,노원구청,www.nowon.kr,,
71,미추홀구청,www.michuhol.go.kr,,
71,양천구청,www.yangcheon.go.kr,,
69,금정구청,www.geumjeong.go.kr,,
68,가평군청,www.gp.go.kr,,
66,전북특별자치도청,www.jeonbuk.go.kr,,
66,중랑구청,www.jungnang.go.kr,,
65,안양시청,www.anyang.go.kr,,
64,전라북도청,www.jeonbuk.go.kr,,
64,종로구청,www.jongno.go.kr,,
61,구리시청,www.guri.go.kr,,
60,고성군청,www.goseong.go.kr,,
54,송파구청,www.songpa.go.kr,,
53,강원도청,www.provin.gangwon.kr,,
52,김천시청,www.gc.go.kr,,
50,봉화군청,www.bonghwa.go.kr,,
50,인천광역시동구청,www.icdonggu.go.kr,,
49,성북구청,www.sb.go.kr,,
45,연제구청,www.yeonje.go.kr,,
44,서구청,www.seogu.gwangju.kr,,
44,인천광역시서구청,www.seo.incheon.kr,,
38,대덕구청,www.daedeok.go.kr,,
34,김천시청,www.gimcheon.go.kr,,
31,마포구청,www.mapo.go.kr,,
28,서울특별시중구청,www.junggu.seoul.kr,,
25,금천구청,www.geumcheon.go.kr,,
23,경상북도경제진흥원,www.gepa.kr,,
22,서구청,www.seo.incheon.kr,,
21,동구청,www.icdonggu.go.kr,,
19,광주광역시남구청,www.namgu.gwangju.kr,,
19,중구청,www.junggu.seoul.kr,,
18,동대문구청,www.ddm.go.kr,,
18,안산시청,www2.ansan.go.kr,,
16,KDB산업은행,onlending.kdb.co.kr,,
15,담양군청,www.damyang.go.kr,,
15,밀양시청,www.miryang.go.kr,,
15,울주군청,www.ulju.ulsan.kr,,
15,전라남도중소기업일자리경제진흥원,www.jeonnam.go.kr,,
14,안산시청,www.ansan.go.kr,,
12,농림축산식품부,www.mafra.go.kr,,
12,충청북도청,www.chungbuk.go.kr,,
11,강서구청,www.gangseo.seoul.kr,,
11,산림청,www.forest.go.kr,,
11,상주시청,www.sangju.go.kr,,
11,세종시청,www.sejong.go.kr,,